𠀀	hē
𠹄	hàn
𠹅	hōng
𠹆	dān
𠹈	nuó
𠹊	cǎo
𠹋	jí
𠹌	něng
𠹍	yǒng róng
𠹎	xiāo
𠹐	chuǎ
𠹑	yào
𠹓	gé
𠹔	táng
𠹕	bào
𠹖	chǎn
𠹘	xù
𠹛	hái
𠹝	chóu
𠹟	jiǎn
𠹠	zuō
𠹤	wèi
𠹥	dā
𠹦	pī
𠹭	gē
𠹳	jié
𠺐	huàn
𠺒	xī
𠺔	pèn
𠺕	liū liáo
𠺖	mǔ
𠺗	miē
𠺘	làng
𠺙	tuì
𠺚	bān
𠺝	gē
𠺟	kù
𠺢	jiā
𠺣	bō
𠻍	huàn
𠻏	zú
𠻐	luò
𠻗	lí
𠻙	hé
𠻚	mó
𠻜	shuì lǜ sū
𠻝	shēn
𠻞	kǎng
𠻟	chì
𠻠	líng
𠻡	luǒ
𠻤	yǎn
𠻥	zhào
𠻦	chuǎ
𠻧	gǔ
𠻨	qǐn
𠻪	tán
𠻫	fèn
𠻬	tú
𠻱	líng
𠻳	zuò
𠻴	lǎng
𠼖	lán
𠼗	zàn
𠼘	wù
𠼝	lí
𠼞	ā
𠼟	lüè
𠼠	zhǐ
𠼡	chóu
𠼢	jiàng qiàng
𠼤	jiān
𠼩	lún
𠼪	yí
𠼬	shāng
𠼮	ǎi
𠼻	jī
𠽜	yì
𠽝	nín
𠽡	huì
𠽣	zhā
𠽦	hǎn
𠽨	yǐn
𠽩	bì
𠽪	ān
𠽫	xiā xiǎ
𠽬	ní
𠽰	dī
𠽱	jiǎn
𠽲	pán
𠽵	yù
𠽶	chuài cuì chuò
𠽷	zā
𠽹	chá
𠽻	zhé
𠽼	sè
𠽾	pēn pǔ
𠽿	gū
𠾀	zhé
𠾆	lí
𠾇	dōu
𠾉	chóu
𠾋	zuǐ
𠾌	pò
𠾏	shē
𠾐	lóng
𠾢	shù
𠾤	jìn
𠾥	líng
𠾨	kāng
𠾩	là
𠾫	xū
𠾬	jìn
𠾮	chuān
𠾲	yuè
𠿆	mǎi
𠿇	xiè
𠿈	jiū
𠿉	jì
𠿋	yuè
𠿏	jiān
𠿑	hán gǎn ǎn hǎn
𠿓	sà
𠿔	huì
𠿕	qiào
𠿗	sè
𠿘	zuǐ
𠿛	lǔ
𠿜	huà
𠿝	chū
𠿞	shǎn
𠿟	wò
𠿠	jí
𠿡	zhuó
𠿢	xián xiàn
𠿣	yī
𠿤	guó
𠿥	kuì guì
𡀇	dǒng
𡀑	zhōu
𡀔	lù lou
𡀖	bō
𡀗	shí
𡀘	yìng
𡀙	kū
𡀹	zhì
𡀺	xié
𡀽	yè hè
𡀾	è
𡀿	lǜ
𡁀	hàn
𡁁	yè kài
𡁆	luò
𡁇	chuò
𡁈	fàn
𡁉	zhí
𡁊	yìng
𡁋	wěn
𡁌	wā
𡁍	ài
𡁎	yú
𡁏	méng
𡁑	huā
𡁓	liè
𡁔	jīng
𡁕	zá
𡁧	zāng
𡁨	duì
𡁪	jì
𡁮	wō
𡁰	jí
𡁱	xī
𡁳	zhàn
𡁴	tuán
𡁶	jiē
𡂊	yú
𡂏	liè
𡂒	zhì
𡂓	shī
𡂕	lǎo
𡂖	lài tà
𡂗	wěi
𡂘	páo
𡂙	chí
𡂚	yǐng
𡂛	dòu
𡂝	dòu
𡂟	bào
𡂠	qiè
𡂡	shù
𡂢	jiāo
𡂣	zhí
𡂩	liè
𡂫	péng
𡂭	zhē
𡂿	ōu ou
𡃂	xiè
𡃃	jí
𡃄	lài
𡃅	yíng
𡃆	cēng
𡃇	bì
𡃈	kè
𡃓	bō
𡃖	lē
𡃝	lùn
𡃡	lóng
𡃢	xì
𡃤	lài
𡃦	lìn
𡃩	guī
𡃳	xīng
𡃴	chú
𡃵	yōng
𡃷	lí
𡃸	cī
𡄇	qǐng
𡄑	jiān
𡄒	dào
𡄓	jiǎn
𡄔	qìng
𡄕	xiè
𡄖	yìng
𡄟	há
𡄡	zhe
𡄢	shē
𡄣	mí
𡄤	huán
𡄱	cù
𡄲	rú
𡄳	sǎ
𡄴	huò
𡄵	yī
𡄷	dī
𡄹	luàn
𡄻	yì
𡅂	bò
𡅃	páng
𡅄	tán
𡅅	é éi
𡅆	zāng
𡅇	cóng
𡅓	zhāi
𡅕	xǐ
𡅖	mǎng
𡅘	là
𡅙	yùn
𡅡	è
𡅥	dié
𡅭	guān
𡅱	huàn
𡅵	shì
𡅶	jiǎn
𡅹	zhān
𡅺	jí
𡅻	huàn
𡆅	wàn
𡆆	luǒ
𡆏	dòu
𡆕	liàn
𡆢	qiú
𡆣	niè dí
𡆤	nǎn
𡆥	jiù
𡆦	yuè
𡆩	yāo jiǒng
𡆪	chuāng
𡆬	yīn
𡆮	cǎn
𡆯	lǐ
𡆰	dùn
𡆱	nǎn
𡆲	nǎn
𡆸	rì guó
𡆽	yuè
𡇀	yóu
𡇂	yīn
𡇄	guó niè
𡇅	guó
𡇈	dàng tuó
𡇑	zhēn
𡇒	mí
𡇓	dié
𡇖	zhēn
𡇚	kuā
𡇜	hán
𡇝	sòng
𡇞	hé
𡇟	jī
𡇠	zhé
𡇤	bǐng
𡇦	wéi
𡇧	tōu
𡇩	tú
𡇬	gāng
𡇭	lóu
𡇮	quán
𡇯	hùn
𡇰	zhuǎn
𡇱	què
𡇳	hóng
